C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_477.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_477.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_477.jpg,0,0,0,1.10E-05
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_543.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_543.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_543.jpg,0,0,0,8.09E-06
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_611.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_611.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_611.jpg,0,0,0,1.21E-05
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_679.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_679.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_679.jpg,0,0.2148327,0,0.1314007
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_746.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_746.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_746.jpg,0,0.3871152,0,0.3477358
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_814.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_814.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_814.jpg,-0.2,0.6312807,0,0.7858437
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_882.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_882.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_882.jpg,-0.35,0.8142567,0,1.339332
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_24_59_949.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_24_59_949.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_24_59_949.jpg,-0.5000001,0.9882576,0,1.947579
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_016.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_016.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_016.jpg,-0.7,1,0,2.853876
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_084.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_084.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_084.jpg,-0.8500001,1,0,3.52373
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_153.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_153.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_153.jpg,-1,1,0,4.400205
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_221.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_221.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_221.jpg,0,1,0,4.99472
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_289.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_289.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_289.jpg,0,1,0,5.660141
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_357.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_357.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_357.jpg,0,1,0,6.579113
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_425.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_425.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_425.jpg,0,1,0,7.26482
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_493.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_493.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_493.jpg,0.15,1,0,8.167637
C:\Users\honam\Desktop\train_data\IMG\center_2021_09_07_16_25_00_560.jpg,C:\Users\honam\Desktop\train_data\IMG\left_2021_09_07_16_25_00_560.jpg,C:\Users\honam\Desktop\train_data\IMG\right_2021_09_07_16_25_00_560.jpg,0.3,1,0,8.825315
